areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2021-07-15,,,48553,,
K02000001,United Kingdom,overview,2021-07-14,3786,,42302,60374,185661
K02000001,United Kingdom,overview,2021-07-13,3623,,36660,59073,158276
K02000001,United Kingdom,overview,2021-07-12,3415,,34471,54296,125360
K02000001,United Kingdom,overview,2021-07-11,3144,582,31772,42000,107620
K02000001,United Kingdom,overview,2021-07-10,3001,546,32367,93763,211446
K02000001,United Kingdom,overview,2021-07-09,2908,559,35707,90083,178819
K02000001,United Kingdom,overview,2021-07-08,2739,599,32551,96430,175467
K02000001,United Kingdom,overview,2021-07-07,2652,566,32548,86953,171477
K02000001,United Kingdom,overview,2021-07-06,2459,567,28773,85811,153126
K02000001,United Kingdom,overview,2021-07-05,2338,514,27334,76962,147814
K02000001,United Kingdom,overview,2021-07-04,2155,460,24248,77222,111410
K02000001,United Kingdom,overview,2021-07-03,2037,387,24885,137389,196209
K02000001,United Kingdom,overview,2021-07-02,1994,384,27125,123605,177478
K02000001,United Kingdom,overview,2021-07-01,1917,366,27989,152525,193066
K02000001,United Kingdom,overview,2021-06-30,1808,412,26068,141216,175749
K02000001,United Kingdom,overview,2021-06-29,1733,363,20479,137991,150688
K02000001,United Kingdom,overview,2021-06-28,1732,307,22868,127260,138016
K02000001,United Kingdom,overview,2021-06-27,1596,262,14876,139712,123555
K02000001,United Kingdom,overview,2021-06-26,1538,266,18270,234441,199505
K02000001,United Kingdom,overview,2021-06-25,1532,250,15810,202497,174770
K02000001,United Kingdom,overview,2021-06-24,1511,248,16703,221534,177813
K02000001,United Kingdom,overview,2021-06-23,1491,274,16135,207647,167988
K02000001,United Kingdom,overview,2021-06-22,1537,238,11625,299837,250875
K02000001,United Kingdom,overview,2021-06-21,1514,228,10633,21080,39325
K02000001,United Kingdom,overview,2021-06-20,1380,206,9284,163750,109408
K02000001,United Kingdom,overview,2021-06-19,1345,211,10321,280241,236363
K02000001,United Kingdom,overview,2021-06-18,1360,235,10476,223140,205677
K02000001,United Kingdom,overview,2021-06-17,1319,241,11007,243978,223260
K02000001,United Kingdom,overview,2021-06-16,1254,227,9055,195565,234834
K02000001,United Kingdom,overview,2021-06-15,1229,228,7673,190033,230666
K02000001,United Kingdom,overview,2021-06-14,1178,225,7742,132627,235928
K02000001,United Kingdom,overview,2021-06-13,1137,223,7490,147228,181121
K02000001,United Kingdom,overview,2021-06-12,1102,178,7738,254185,320326
K02000001,United Kingdom,overview,2021-06-11,1073,177,8125,208531,307192
K02000001,United Kingdom,overview,2021-06-10,1092,200,7393,201607,308038
K02000001,United Kingdom,overview,2021-06-09,1061,189,7540,176559,316258
K02000001,United Kingdom,overview,2021-06-08,1054,189,6048,136802,313482
K02000001,United Kingdom,overview,2021-06-07,1032,174,5683,112941,306068
K02000001,United Kingdom,overview,2021-06-06,961,153,5341,127345,259941
K02000001,United Kingdom,overview,2021-06-05,935,124,5765,203613,473378
K02000001,United Kingdom,overview,2021-06-04,962,124,6238,179924,388031
K02000001,United Kingdom,overview,2021-06-03,935,123,5274,191266,377641
K02000001,United Kingdom,overview,2021-06-02,958,127,4330,172763,349019
K02000001,United Kingdom,overview,2021-06-01,927,155,3165,108507,338565
K02000001,United Kingdom,overview,2021-05-31,926,123,3383,93103,195546
K02000001,United Kingdom,overview,2021-05-30,904,113,3240,124887,206322
K02000001,United Kingdom,overview,2021-05-29,884,103,3398,183526,418848
K02000001,United Kingdom,overview,2021-05-28,883,138,4182,204442,435951
K02000001,United Kingdom,overview,2021-05-27,870,124,3542,256517,434096
K02000001,United Kingdom,overview,2021-05-26,893,129,3180,236119,427458
K02000001,United Kingdom,overview,2021-05-25,919,132,2493,186147,387987
K02000001,United Kingdom,overview,2021-05-24,958,136,2439,122379,332955
K02000001,United Kingdom,overview,2021-05-23,922,114,2235,126357,252139
K02000001,United Kingdom,overview,2021-05-22,885,120,2694,205410,556951
K02000001,United Kingdom,overview,2021-05-21,920,120,2829,219657,426683
K02000001,United Kingdom,overview,2021-05-20,910,130,2874,268251,420312
K02000001,United Kingdom,overview,2021-05-19,916,125,2696,264858,369018
K02000001,United Kingdom,overview,2021-05-18,896,127,2412,174100,324001
K02000001,United Kingdom,overview,2021-05-17,941,101,1979,106733,259049
K02000001,United Kingdom,overview,2021-05-16,939,78,1926,131318,183745
K02000001,United Kingdom,overview,2021-05-15,964,90,2027,237331,391246
K02000001,United Kingdom,overview,2021-05-14,974,93,2193,220068,393402
K02000001,United Kingdom,overview,2021-05-13,999,104,2657,209284,428041
K02000001,United Kingdom,overview,2021-05-12,1066,118,2284,184210,452437
K02000001,United Kingdom,overview,2021-05-11,1104,108,2474,135113,350147
K02000001,United Kingdom,overview,2021-05-10,1127,104,2357,115053,231835
K02000001,United Kingdom,overview,2021-05-09,1116,103,1770,100626,187171
K02000001,United Kingdom,overview,2021-05-08,1135,110,2047,169027,438837
K02000001,United Kingdom,overview,2021-05-07,1154,103,2490,133001,465822
K02000001,United Kingdom,overview,2021-05-06,1157,120,2613,135470,473001
K02000001,United Kingdom,overview,2021-05-05,1236,118,2144,139097,404226
K02000001,United Kingdom,overview,2021-05-04,1293,102,1946,127170,257486
K02000001,United Kingdom,overview,2021-05-03,1301,123,1649,72600,127499
K02000001,United Kingdom,overview,2021-05-02,1283,119,1671,89924,172891
K02000001,United Kingdom,overview,2021-05-01,1285,100,1907,143175,372304
K02000001,United Kingdom,overview,2021-04-30,1365,110,2381,145589,421785
K02000001,United Kingdom,overview,2021-04-29,1463,101,2445,122568,491567
K02000001,United Kingdom,overview,2021-04-28,1514,110,2166,134140,462885
K02000001,United Kingdom,overview,2021-04-27,1571,166,2685,116328,379265
K02000001,United Kingdom,overview,2021-04-26,1648,134,2064,90695,304688
K02000001,United Kingdom,overview,2021-04-25,1625,138,1712,79695,260801
K02000001,United Kingdom,overview,2021-04-24,1672,129,2061,148767,547636
K02000001,United Kingdom,overview,2021-04-23,1748,155,2678,135786,465015
K02000001,United Kingdom,overview,2021-04-22,1790,120,2729,130986,431070
K02000001,United Kingdom,overview,2021-04-21,1892,171,2396,117909,416784
K02000001,United Kingdom,overview,2021-04-20,1925,134,2524,107622,350027
