areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2021-10-20,,,49139,,
K02000001,United Kingdom,overview,2021-10-19,7891,,43738,42902,32767
K02000001,United Kingdom,overview,2021-10-18,7767,,49156,39672,23579
K02000001,United Kingdom,overview,2021-10-17,7407,,45140,17837,17265
K02000001,United Kingdom,overview,2021-10-16,7142,869,43423,28999,33483
K02000001,United Kingdom,overview,2021-10-15,7120,935,44932,40763,29432
K02000001,United Kingdom,overview,2021-10-14,7115,893,45066,43489,27991
K02000001,United Kingdom,overview,2021-10-13,7065,907,42776,38726,29481
K02000001,United Kingdom,overview,2021-10-12,7057,920,38520,36847,26946
K02000001,United Kingdom,overview,2021-10-11,7040,830,40224,29172,23632
K02000001,United Kingdom,overview,2021-10-10,6891,720,34574,22106,19451
K02000001,United Kingdom,overview,2021-10-09,6722,758,34950,31395,33477
K02000001,United Kingdom,overview,2021-10-08,6780,780,41765,31685,29068
K02000001,United Kingdom,overview,2021-10-07,6804,805,40701,33029,28656
K02000001,United Kingdom,overview,2021-10-06,6860,774,39851,32828,28576
K02000001,United Kingdom,overview,2021-10-05,6875,830,33869,41347,28572
K02000001,United Kingdom,overview,2021-10-04,6800,799,35077,37671,29337
K02000001,United Kingdom,overview,2021-10-03,6611,716,30439,24123,21532
K02000001,United Kingdom,overview,2021-10-02,6455,693,30301,31066,34391
K02000001,United Kingdom,overview,2021-10-01,6604,687,35577,38180,34289
K02000001,United Kingdom,overview,2021-09-30,6774,692,36480,34372,34459
K02000001,United Kingdom,overview,2021-09-29,6920,801,36722,31539,34093
K02000001,United Kingdom,overview,2021-09-28,7035,769,34526,31853,33532
K02000001,United Kingdom,overview,2021-09-27,7054,779,37960,24919,33177
K02000001,United Kingdom,overview,2021-09-26,6822,666,32417,15984,25539
K02000001,United Kingdom,overview,2021-09-25,6962,668,32468,24296,47118
K02000001,United Kingdom,overview,2021-09-24,6918,723,35623,27617,44759
K02000001,United Kingdom,overview,2021-09-23,7170,772,36710,25083,44588
K02000001,United Kingdom,overview,2021-09-22,7420,753,34460,22679,44047
K02000001,United Kingdom,overview,2021-09-21,7628,800,31564,20384,43406
K02000001,United Kingdom,overview,2021-09-20,7800,810,36100,20150,46342
K02000001,United Kingdom,overview,2021-09-19,7748,728,29612,13840,35157
K02000001,United Kingdom,overview,2021-09-18,7697,759,30144,26198,72497
K02000001,United Kingdom,overview,2021-09-17,7907,753,32651,20778,60384
K02000001,United Kingdom,overview,2021-09-16,8114,889,26911,23051,63973
K02000001,United Kingdom,overview,2021-09-15,8398,947,30597,24402,63290
K02000001,United Kingdom,overview,2021-09-14,8394,945,26628,17645,66725
K02000001,United Kingdom,overview,2021-09-13,8473,936,30825,19428,60653
K02000001,United Kingdom,overview,2021-09-12,8250,862,29173,14955,52615
K02000001,United Kingdom,overview,2021-09-11,8140,851,29547,27913,98059
K02000001,United Kingdom,overview,2021-09-10,8312,921,37622,26064,91811
K02000001,United Kingdom,overview,2021-09-09,8141,1032,38013,25774,96702
K02000001,United Kingdom,overview,2021-09-08,8132,1162,38975,25131,87960
K02000001,United Kingdom,overview,2021-09-07,7977,1102,37489,26624,85848
K02000001,United Kingdom,overview,2021-09-06,8034,1077,41192,22698,80015
K02000001,United Kingdom,overview,2021-09-05,7748,879,37011,21795,73193
K02000001,United Kingdom,overview,2021-09-04,7552,949,37578,41054,128553
K02000001,United Kingdom,overview,2021-09-03,7667,927,42076,35266,110590
K02000001,United Kingdom,overview,2021-09-02,7618,1001,38154,40002,119375
K02000001,United Kingdom,overview,2021-09-01,7678,1077,35693,44088,113385
K02000001,United Kingdom,overview,2021-08-31,7675,997,32181,39899,119402
K02000001,United Kingdom,overview,2021-08-30,7336,997,26476,19643,66648
K02000001,United Kingdom,overview,2021-08-29,7107,852,33196,24390,79440
K02000001,United Kingdom,overview,2021-08-28,6976,860,32406,43271,133688
K02000001,United Kingdom,overview,2021-08-27,7081,939,38046,44937,131456
K02000001,United Kingdom,overview,2021-08-26,7029,952,38281,55140,144936
K02000001,United Kingdom,overview,2021-08-25,6983,1031,35847,68076,161705
K02000001,United Kingdom,overview,2021-08-24,6959,998,30838,55410,130676
K02000001,United Kingdom,overview,2021-08-23,7017,966,31914,46401,131283
K02000001,United Kingdom,overview,2021-08-22,6747,832,32253,40345,116352
K02000001,United Kingdom,overview,2021-08-21,6529,871,32058,73006,194881
K02000001,United Kingdom,overview,2021-08-20,6518,869,37314,60885,167392
K02000001,United Kingdom,overview,2021-08-19,6507,944,36572,55979,175059
K02000001,United Kingdom,overview,2021-08-18,6464,909,33904,47284,169223
K02000001,United Kingdom,overview,2021-08-17,6406,967,26852,43824,145875
K02000001,United Kingdom,overview,2021-08-16,6382,870,28438,35716,138390
K02000001,United Kingdom,overview,2021-08-15,6045,808,26750,31257,126383
K02000001,United Kingdom,overview,2021-08-14,5882,787,29520,46603,199584
K02000001,United Kingdom,overview,2021-08-13,5986,787,32700,40490,171585
K02000001,United Kingdom,overview,2021-08-12,5958,860,33074,44384,192559
K02000001,United Kingdom,overview,2021-08-11,6003,847,29612,41568,173761
K02000001,United Kingdom,overview,2021-08-10,6019,891,23510,37511,151143
K02000001,United Kingdom,overview,2021-08-09,6017,755,25161,32250,137028
K02000001,United Kingdom,overview,2021-08-08,5856,744,27429,22843,122070
K02000001,United Kingdom,overview,2021-08-07,5702,727,28612,37990,213583
K02000001,United Kingdom,overview,2021-08-06,5751,779,31808,36976,168356
K02000001,United Kingdom,overview,2021-08-05,5754,811,30215,35500,172692
K02000001,United Kingdom,overview,2021-08-04,5791,835,29312,33334,165669
K02000001,United Kingdom,overview,2021-08-03,6005,764,21691,29290,142761
K02000001,United Kingdom,overview,2021-08-02,6214,785,21952,26092,126192
K02000001,United Kingdom,overview,2021-08-01,5981,740,24470,21232,118044
K02000001,United Kingdom,overview,2021-07-31,5957,674,26144,38826,212014
K02000001,United Kingdom,overview,2021-07-30,6018,746,29622,36724,171096
K02000001,United Kingdom,overview,2021-07-29,5985,837,31117,42353,179918
K02000001,United Kingdom,overview,2021-07-28,6106,851,27734,43847,171173
K02000001,United Kingdom,overview,2021-07-27,6095,916,23511,35402,151650
K02000001,United Kingdom,overview,2021-07-26,6003,939,24950,30019,148936
K02000001,United Kingdom,overview,2021-07-25,5646,941,29173,24551,117956
K02000001,United Kingdom,overview,2021-07-24,5377,827,31795,43805,203886
K02000001,United Kingdom,overview,2021-07-23,5310,864,36389,42974,189341
K02000001,United Kingdom,overview,2021-07-22,5100,954,39906,44036,188297
K02000001,United Kingdom,overview,2021-07-21,4928,928,44104,45101,183338
K02000001,United Kingdom,overview,2021-07-20,4740,936,46558,39035,161279
K02000001,United Kingdom,overview,2021-07-19,4649,874,39950,35670,143560
K02000001,United Kingdom,overview,2021-07-18,4345,799,48161,18186,128878
K02000001,United Kingdom,overview,2021-07-17,4229,709,54674,67217,225214
K02000001,United Kingdom,overview,2021-07-16,4149,700,51870,69491,202314
K02000001,United Kingdom,overview,2021-07-15,4036,772,48553,61681,201893
K02000001,United Kingdom,overview,2021-07-14,3855,756,42302,60374,185661
K02000001,United Kingdom,overview,2021-07-13,3672,751,36660,59073,158276
K02000001,United Kingdom,overview,2021-07-12,3457,732,34471,54296,125360
K02000001,United Kingdom,overview,2021-07-11,3181,593,31772,42000,107620
K02000001,United Kingdom,overview,2021-07-10,3035,552,32367,93763,211446
K02000001,United Kingdom,overview,2021-07-09,2938,556,35707,90083,178819
K02000001,United Kingdom,overview,2021-07-08,2767,606,32551,96430,175467
K02000001,United Kingdom,overview,2021-07-07,2680,569,32548,86953,171477
K02000001,United Kingdom,overview,2021-07-06,2485,574,28773,85811,153126
K02000001,United Kingdom,overview,2021-07-05,2363,517,27334,76962,147814
K02000001,United Kingdom,overview,2021-07-04,2177,465,24248,77222,111410
K02000001,United Kingdom,overview,2021-07-03,2057,392,24885,137389,196209
K02000001,United Kingdom,overview,2021-07-02,2013,390,27125,123605,177478
K02000001,United Kingdom,overview,2021-07-01,1936,372,27989,152525,193066
K02000001,United Kingdom,overview,2021-06-30,1826,416,26068,141216,175749
K02000001,United Kingdom,overview,2021-06-29,1747,368,20479,137991,150688
K02000001,United Kingdom,overview,2021-06-28,1744,310,22868,127260,138016
K02000001,United Kingdom,overview,2021-06-27,1606,267,14876,139712,123555
K02000001,United Kingdom,overview,2021-06-26,1545,267,18270,234441,199505
K02000001,United Kingdom,overview,2021-06-25,1538,255,15810,202497,174770
K02000001,United Kingdom,overview,2021-06-24,1517,255,16703,221534,177813
K02000001,United Kingdom,overview,2021-06-23,1496,277,16135,207647,167988
K02000001,United Kingdom,overview,2021-06-22,1542,238,11625,299837,250875
K02000001,United Kingdom,overview,2021-06-21,1519,228,10633,21080,39325
K02000001,United Kingdom,overview,2021-06-20,1385,206,9284,163750,109408
K02000001,United Kingdom,overview,2021-06-19,1350,212,10321,280241,236363
K02000001,United Kingdom,overview,2021-06-18,1365,238,10476,223140,205677
K02000001,United Kingdom,overview,2021-06-17,1323,242,11007,243978,223260
K02000001,United Kingdom,overview,2021-06-16,1258,229,9055,195565,234834
K02000001,United Kingdom,overview,2021-06-15,1233,232,7673,190033,230666
K02000001,United Kingdom,overview,2021-06-14,1182,228,7742,132627,235928
K02000001,United Kingdom,overview,2021-06-13,1141,222,7490,147228,181121
K02000001,United Kingdom,overview,2021-06-12,1106,177,7738,254185,320326
K02000001,United Kingdom,overview,2021-06-11,1077,179,8125,208531,307192
K02000001,United Kingdom,overview,2021-06-10,1095,201,7393,201607,308038
K02000001,United Kingdom,overview,2021-06-09,1064,193,7540,176559,316258
K02000001,United Kingdom,overview,2021-06-08,1057,190,6048,136802,313482
K02000001,United Kingdom,overview,2021-06-07,1035,175,5683,112941,306068
K02000001,United Kingdom,overview,2021-06-06,964,154,5341,127345,259941
K02000001,United Kingdom,overview,2021-06-05,938,126,5765,203613,473378
K02000001,United Kingdom,overview,2021-06-04,965,123,6238,179924,388031
K02000001,United Kingdom,overview,2021-06-03,938,126,5274,191266,377641
K02000001,United Kingdom,overview,2021-06-02,961,128,4330,172763,349019
K02000001,United Kingdom,overview,2021-06-01,930,154,3165,108507,338565
K02000001,United Kingdom,overview,2021-05-31,929,124,3383,93103,195546
K02000001,United Kingdom,overview,2021-05-30,907,112,3240,124887,206322
K02000001,United Kingdom,overview,2021-05-29,887,104,3398,183526,418848
K02000001,United Kingdom,overview,2021-05-28,886,140,4182,204442,435951
K02000001,United Kingdom,overview,2021-05-27,872,127,3542,256517,434096
K02000001,United Kingdom,overview,2021-05-26,895,132,3180,236119,427458
K02000001,United Kingdom,overview,2021-05-25,921,133,2493,186147,387987
K02000001,United Kingdom,overview,2021-05-24,960,139,2439,122379,332955
K02000001,United Kingdom,overview,2021-05-23,924,114,2235,126357,252139
K02000001,United Kingdom,overview,2021-05-22,887,120,2694,205410,556951
K02000001,United Kingdom,overview,2021-05-21,922,124,2829,219657,426683
K02000001,United Kingdom,overview,2021-05-20,912,132,2874,268251,420312
K02000001,United Kingdom,overview,2021-05-19,918,127,2696,264858,369018
K02000001,United Kingdom,overview,2021-05-18,898,128,2412,174100,324001
