date,hospitalCases,newAdmissions,newCasesByPublishDate,retail_and_recreation_change,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.0,0.0,0,-12.0,-7.0,-35.0,-12.0,-4.0,2.0
2020-02-16,0.0,0.0,0,-7.0,-6.0,-28.0,-7.0,-3.0,1.0
2020-02-17,0.0,0.0,0,10.0,1.0,24.0,-2.0,-14.0,2.0
2020-02-18,0.0,0.0,0,7.0,-1.0,20.0,-3.0,-14.0,2.0
2020-02-19,0.0,0.0,0,6.0,-2.0,8.0,-4.0,-14.0,3.0
2020-02-20,0.0,0.0,0,5.0,-2.0,4.0,-5.0,-14.0,3.0
2020-02-21,0.0,0.0,0,5.0,-1.0,10.0,-3.0,-15.0,3.0
2020-02-22,0.0,0.0,0,-4.0,-2.0,-7.0,-2.0,-2.0,1.0
2020-02-23,0.0,0.0,0,-1.0,-2.0,-5.0,3.0,-1.0,0.0
2020-02-24,0.0,0.0,4,-3.0,-1.0,-9.0,-2.0,-2.0,1.0
2020-02-25,0.0,0.0,0,-1.0,4.0,3.0,1.0,1.0,0.0
2020-02-26,0.0,0.0,0,1.0,0.0,6.0,-1.0,1.0,0.0
2020-02-27,0.0,0.0,0,2.0,1.0,8.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,6,1.0,1.0,-13.0,0.0,-1.0,1.0
2020-02-29,0.0,0.0,4,1.0,1.0,-14.0,-2.0,0.0,0.0
2020-03-01,0.0,0.0,12,7.0,2.0,14.0,5.0,1.0,-1.0
2020-03-02,0.0,0.0,5,4.0,4.0,14.0,0.0,1.0,0.0
2020-03-03,0.0,0.0,11,2.0,3.0,11.0,-1.0,1.0,0.0
2020-03-04,0.0,0.0,34,2.0,3.0,2.0,-2.0,1.0,1.0
2020-03-05,0.0,0.0,29,-1.0,2.0,1.0,-3.0,0.0,1.0
2020-03-06,0.0,0.0,46,5.0,6.0,22.0,1.0,1.0,0.0
2020-03-07,0.0,0.0,46,0.0,2.0,7.0,-1.0,1.0,0.0
2020-03-08,0.0,0.0,65,4.0,2.0,15.0,2.0,1.0,-1.0
2020-03-09,0.0,0.0,50,0.0,4.0,4.0,-3.0,0.0,1.0
2020-03-10,0.0,0.0,52,-2.0,5.0,4.0,-4.0,0.0,1.0
2020-03-11,0.0,0.0,83,0.0,5.0,10.0,-6.0,0.0,1.0
2020-03-12,0.0,0.0,134,-1.0,11.0,5.0,-8.0,-1.0,2.0
2020-03-13,0.0,0.0,207,-2.0,11.0,12.0,-9.0,-4.0,2.0
2020-03-14,0.0,0.0,264,-10.0,7.0,1.0,-15.0,-2.0,2.0
2020-03-15,0.0,0.0,330,-11.0,7.0,-1.0,-16.0,-4.0,2.0
2020-03-16,0.0,0.0,152,-3.0,20.0,29.0,-16.0,-9.0,4.0
2020-03-17,0.0,0.0,407,-15.0,21.0,6.0,-27.0,-16.0,7.0
2020-03-18,0.0,0.0,676,-21.0,22.0,-3.0,-34.0,-23.0,10.0
2020-03-19,0.0,0.0,643,-21.0,24.0,2.0,-37.0,-27.0,11.0
2020-03-20,0.0,0.0,714,-28.0,10.0,6.0,-40.0,-29.0,13.0
2020-03-21,0.0,0.0,1035,-50.0,1.0,2.0,-46.0,-25.0,11.0
2020-03-22,0.0,0.0,665,-56.0,-14.0,20.0,-46.0,-30.0,9.0
2020-03-23,0.0,1274.0,967,-45.0,-8.0,1.0,-53.0,-45.0,17.0
2020-03-24,0.0,1718.0,1427,-71.0,-24.0,-14.0,-64.0,-58.0,24.0
2020-03-25,0.0,2085.0,1452,-73.0,-26.0,-12.0,-68.0,-64.0,26.0
2020-03-26,0.0,1929.0,2129,-74.0,-28.0,-11.0,-70.0,-66.0,27.0
2020-03-27,7267.0,2229.0,2890,-76.0,-29.0,-26.0,-71.0,-66.0,28.0
2020-03-28,8278.0,2192.0,2556,-83.0,-39.0,-54.0,-74.0,-57.0,20.0
2020-03-29,9525.0,2489.0,2502,-85.0,-46.0,-52.0,-75.0,-55.0,15.0
2020-03-30,11093.0,3192.0,2665,-74.0,-32.0,-33.0,-73.0,-69.0,27.0
2020-03-31,12597.0,2832.0,3250,-74.0,-30.0,-21.0,-72.0,-70.0,27.0
2020-04-01,13637.0,3567.0,4567,-75.0,-32.0,-29.0,-73.0,-69.0,28.0
2020-04-02,13875.0,3286.0,4522,-75.0,-32.0,-24.0,-73.0,-70.0,29.0
2020-04-03,15546.0,2930.0,4672,-76.0,-30.0,-25.0,-72.0,-69.0,29.0
2020-04-04,17502.0,2922.0,4000,-81.0,-36.0,-38.0,-72.0,-57.0,19.0
2020-04-05,18855.0,2916.0,6199,-82.0,-41.0,-29.0,-70.0,-54.0,15.0
2020-04-06,19493.0,3046.0,4143,-73.0,-31.0,-20.0,-72.0,-70.0,27.0
2020-04-07,20234.0,3150.0,3888,-73.0,-29.0,-7.0,-69.0,-70.0,27.0
2020-04-08,20740.0,2967.0,5865,-73.0,-27.0,-14.0,-70.0,-70.0,27.0
2020-04-09,21005.0,2629.0,4675,-71.0,-20.0,-13.0,-70.0,-70.0,27.0
2020-04-10,21280.0,2463.0,5706,-78.0,-33.0,-18.0,-75.0,-80.0,32.0
2020-04-11,21254.0,2163.0,5234,-81.0,-32.0,-37.0,-70.0,-57.0,19.0
2020-04-12,21687.0,2066.0,5288,-89.0,-63.0,-33.0,-71.0,-58.0,16.0
2020-04-13,21308.0,2162.0,4342,-78.0,-41.0,-21.0,-78.0,-83.0,31.0
2020-04-14,21281.0,2088.0,5252,-71.0,-26.0,-10.0,-69.0,-70.0,27.0
2020-04-15,20582.0,1880.0,4605,-72.0,-27.0,-6.0,-69.0,-69.0,27.0
2020-04-16,20389.0,2011.0,4618,-73.0,-27.0,-7.0,-70.0,-69.0,28.0
2020-04-17,19330.0,1967.0,5599,-75.0,-30.0,-33.0,-71.0,-68.0,29.0
2020-04-18,19456.0,1629.0,5526,-81.0,-37.0,-47.0,-71.0,-54.0,19.0
2020-04-19,19574.0,1657.0,5850,-80.0,-40.0,-12.0,-66.0,-49.0,14.0
2020-04-20,19331.0,1734.0,4676,-71.0,-30.0,-2.0,-68.0,-67.0,25.0
2020-04-21,19139.0,1712.0,4301,-72.0,-28.0,2.0,-67.0,-67.0,26.0
2020-04-22,18533.0,1529.0,4451,-72.0,-28.0,1.0,-67.0,-66.0,27.0
2020-04-23,17867.0,1514.0,4583,-72.0,-27.0,6.0,-67.0,-66.0,27.0
2020-04-24,17063.0,1525.0,5386,-73.0,-26.0,-4.0,-66.0,-65.0,27.0
2020-04-25,16604.0,1253.0,4913,-78.0,-32.0,-23.0,-65.0,-51.0,18.0
2020-04-26,16555.0,1355.0,4463,-78.0,-37.0,-10.0,-64.0,-48.0,14.0
2020-04-27,16662.0,1538.0,4310,-69.0,-29.0,-3.0,-66.0,-65.0,25.0
2020-04-28,15877.0,1518.0,3996,-74.0,-33.0,-42.0,-71.0,-66.0,25.0
2020-04-29,15521.0,1488.0,4076,-73.0,-30.0,-31.0,-69.0,-66.0,27.0
2020-04-30,15164.0,1442.0,6032,-74.0,-28.0,-31.0,-69.0,-66.0,27.0
2020-05-01,14723.0,1263.0,6201,-74.0,-27.0,-22.0,-67.0,-64.0,27.0
2020-05-02,14380.0,1181.0,4806,-78.0,-30.0,-18.0,-63.0,-49.0,17.0
2020-05-03,14188.0,1188.0,4339,-79.0,-37.0,-21.0,-64.0,-46.0,14.0
2020-05-04,14097.0,1249.0,3985,-69.0,-27.0,4.0,-64.0,-64.0,24.0
2020-05-05,13723.0,1146.0,4406,-70.0,-25.0,4.0,-64.0,-64.0,25.0
2020-05-06,13148.0,1206.0,6111,-69.0,-22.0,16.0,-62.0,-63.0,25.0
2020-05-07,12626.0,1166.0,5614,-67.0,-15.0,16.0,-62.0,-63.0,25.0
2020-05-08,12053.0,910.0,4649,-75.0,-28.0,14.0,-68.0,-77.0,30.0
2020-05-09,12015.0,944.0,3896,-78.0,-29.0,-6.0,-62.0,-48.0,17.0
2020-05-10,11727.0,916.0,3923,-80.0,-37.0,-38.0,-68.0,-45.0,14.0
2020-05-11,11967.0,1029.0,3877,-67.0,-25.0,-8.0,-64.0,-62.0,24.0
2020-05-12,11591.0,983.0,3403,-68.0,-23.0,7.0,-62.0,-62.0,24.0
2020-05-13,11342.0,966.0,3242,-68.0,-23.0,6.0,-62.0,-61.0,25.0
2020-05-14,10921.0,909.0,3446,-67.0,-21.0,28.0,-61.0,-61.0,23.0
2020-05-15,10691.0,871.0,3560,-69.0,-21.0,21.0,-60.0,-60.0,24.0
2020-05-16,10238.0,813.0,3451,-74.0,-25.0,5.0,-58.0,-43.0,15.0
2020-05-17,10199.0,793.0,3562,-74.0,-29.0,27.0,-55.0,-39.0,12.0
